paths,labels
processed_data\leg extension\video140.pt,10
processed_data\plank\video248.pt,12
processed_data\squat\video80.pt,18
processed_data\hammer curl\video155.pt,5
processed_data\bench press\video57.pt,1
processed_data\hip thrust\video3.pt,6
processed_data\hip thrust\video12.pt,6
processed_data\leg extension\video58.pt,10
processed_data\tricep dips\video24.pt,20
processed_data\bench press\video28.pt,1
processed_data\deadlift\video32.pt,3
processed_data\squat\video19.pt,18
processed_data\hammer curl\video21.pt,5
processed_data\deadlift\video55.pt,3
processed_data\lateral raise\video166.pt,9
processed_data\hammer curl\video118.pt,5
processed_data\incline bench press\video141.pt,7
processed_data\tricep dips\video42.pt,20
processed_data\russian twist\video128.pt,16
processed_data\squat\video163.pt,18
processed_data\barbell biceps curl\video152.pt,0
processed_data\incline bench press\video121.pt,7
processed_data\pull Up\video70.pt,13
processed_data\push-up\video177.pt,14
processed_data\plank\video229.pt,12
processed_data\t bar row\video66.pt,19
processed_data\t bar row\video8.pt,19
processed_data\push-up\video195.pt,14
processed_data\push-up\video54.pt,14
processed_data\t bar row\video186.pt,19
processed_data\tricep dips\video18.pt,20
processed_data\barbell biceps curl\video85.pt,0
processed_data\t bar row\video148.pt,19
processed_data\plank\video50.pt,12
processed_data\incline bench press\video65.pt,7
processed_data\bench press\video125.pt,1
processed_data\hip thrust\video28.pt,6
processed_data\lateral raise\video76.pt,9
processed_data\russian twist\video116.pt,16
processed_data\tricep dips\video60.pt,20
processed_data\deadlift\video146.pt,3
processed_data\incline bench press\video151.pt,7
processed_data\hammer curl\video44.pt,5
processed_data\t bar row\video81.pt,19
processed_data\romanian deadlift\video57.pt,15
processed_data\tricep dips\video82.pt,20
processed_data\squat\video133.pt,18
processed_data\leg extension\video2.pt,10
processed_data\push-up\video18.pt,14
processed_data\squat\video41.pt,18
processed_data\barbell biceps curl\video27.pt,0
processed_data\shoulder press\video0.pt,17
processed_data\pull Up\video100.pt,13
processed_data\t bar row\video14.pt,19
processed_data\t bar row\video4.pt,19
processed_data\deadlift\video103.pt,3
processed_data\tricep dips\video159.pt,20
processed_data\pull Up\video114.pt,13
processed_data\lat pulldown\video5.pt,8
processed_data\hip thrust\video84.pt,6
processed_data\lateral raise\video193.pt,9
processed_data\leg extension\video84.pt,10
processed_data\t bar row\video47.pt,19
processed_data\romanian deadlift\video94.pt,15
processed_data\incline bench press\video4.pt,7
processed_data\push-up\video36.pt,14
processed_data\tricep Pushdown\video24.pt,21
processed_data\push-up\video186.pt,14
processed_data\leg raises\video151.pt,11
processed_data\romanian deadlift\video19.pt,15
processed_data\russian twist\video149.pt,16
processed_data\russian twist\video115.pt,16
processed_data\lateral raise\video3.pt,9
processed_data\pull Up\video45.pt,13
processed_data\deadlift\video42.pt,3
processed_data\hip thrust\video139.pt,6
processed_data\tricep dips\video97.pt,20
processed_data\leg raises\video143.pt,11
processed_data\hammer curl\video148.pt,5
processed_data\squat\video212.pt,18
processed_data\tricep dips\video62.pt,20
processed_data\pull Up\video93.pt,13
processed_data\lateral raise\video150.pt,9
processed_data\lateral raise\video174.pt,9
processed_data\plank\video54.pt,12
processed_data\bench press\video22.pt,1
processed_data\russian twist\video81.pt,16
processed_data\tricep Pushdown\video72.pt,21
processed_data\pull Up\video74.pt,13
processed_data\plank\video177.pt,12
processed_data\pull Up\video171.pt,13
processed_data\leg extension\video61.pt,10
processed_data\plank\video168.pt,12
processed_data\pull Up\video120.pt,13
processed_data\tricep dips\video184.pt,20
processed_data\lateral raise\video51.pt,9
processed_data\plank\video262.pt,12
processed_data\push-up\video82.pt,14
processed_data\push-up\video247.pt,14
processed_data\hip thrust\video135.pt,6
processed_data\push-up\video76.pt,14
processed_data\push-up\video112.pt,14
processed_data\incline bench press\video132.pt,7
processed_data\hammer curl\video59.pt,5
processed_data\romanian deadlift\video168.pt,15
processed_data\hip thrust\video114.pt,6
processed_data\tricep Pushdown\video66.pt,21
processed_data\leg raises\video1.pt,11
processed_data\bench press\video21.pt,1
processed_data\barbell biceps curl\video109.pt,0
processed_data\squat\video87.pt,18
processed_data\lateral raise\video144.pt,9
processed_data\russian twist\video119.pt,16
processed_data\lateral raise\video39.pt,9
processed_data\romanian deadlift\video7.pt,15
processed_data\squat\video114.pt,18
processed_data\hammer curl\video114.pt,5
processed_data\russian twist\video21.pt,16
processed_data\bench press\video107.pt,1
processed_data\squat\video200.pt,18
processed_data\leg raises\video60.pt,11
processed_data\squat\video62.pt,18
processed_data\lat pulldown\video0.pt,8
processed_data\pull Up\video54.pt,13
processed_data\hammer curl\video121.pt,5
processed_data\push-up\video122.pt,14
processed_data\tricep dips\video2.pt,20
processed_data\bench press\video2.pt,1
processed_data\push-up\video207.pt,14
processed_data\hip thrust\video156.pt,6
processed_data\incline bench press\video161.pt,7
processed_data\leg raises\video58.pt,11
processed_data\romanian deadlift\video68.pt,15
processed_data\lateral raise\video119.pt,9
processed_data\tricep Pushdown\video85.pt,21
processed_data\tricep dips\video200.pt,20
processed_data\push-up\video22.pt,14
processed_data\lat pulldown\video6.pt,8
processed_data\leg raises\video131.pt,11
processed_data\squat\video49.pt,18
processed_data\t bar row\video20.pt,19
processed_data\romanian deadlift\video179.pt,15
processed_data\romanian deadlift\video91.pt,15
processed_data\plank\video141.pt,12
processed_data\leg extension\video109.pt,10
processed_data\pull Up\video94.pt,13
processed_data\push-up\video60.pt,14
processed_data\tricep dips\video101.pt,20
processed_data\deadlift\video13.pt,3
processed_data\lateral raise\video113.pt,9
processed_data\tricep dips\video30.pt,20
processed_data\leg extension\video9.pt,10
processed_data\pull Up\video71.pt,13
processed_data\pull Up\video107.pt,13
processed_data\leg raises\video54.pt,11
processed_data\t bar row\video77.pt,19
processed_data\tricep Pushdown\video77.pt,21
processed_data\leg extension\video3.pt,10
processed_data\barbell biceps curl\video157.pt,0
processed_data\leg extension\video10.pt,10
processed_data\bench press\video75.pt,1
processed_data\incline bench press\video111.pt,7
processed_data\pull Up\video5.pt,13
processed_data\pull Up\video176.pt,13
processed_data\pull Up\video161.pt,13
processed_data\pull Up\video18.pt,13
processed_data\bench press\video60.pt,1
processed_data\tricep dips\video88.pt,20
processed_data\russian twist\video60.pt,16
processed_data\plank\video99.pt,12
processed_data\leg extension\video76.pt,10
processed_data\tricep Pushdown\video46.pt,21
processed_data\hammer curl\video14.pt,5
processed_data\push-up\video244.pt,14
processed_data\t bar row\video35.pt,19
processed_data\pull Up\video52.pt,13
processed_data\leg extension\video128.pt,10
processed_data\pull Up\video108.pt,13
processed_data\hip thrust\video113.pt,6
processed_data\lateral raise\video159.pt,9
processed_data\plank\video106.pt,12
processed_data\t bar row\video183.pt,19
processed_data\tricep dips\video58.pt,20
processed_data\romanian deadlift\video34.pt,15
processed_data\squat\video83.pt,18
processed_data\squat\video85.pt,18
processed_data\tricep dips\video89.pt,20
processed_data\pull Up\video118.pt,13
processed_data\hammer curl\video16.pt,5
processed_data\t bar row\video143.pt,19
processed_data\bench press\video101.pt,1
processed_data\tricep dips\video57.pt,20
processed_data\push-up\video161.pt,14
processed_data\leg extension\video7.pt,10
processed_data\pull Up\video119.pt,13
processed_data\deadlift\video109.pt,3
processed_data\leg raises\video78.pt,11
processed_data\squat\video42.pt,18
processed_data\shoulder press\video16.pt,17
processed_data\plank\video114.pt,12
processed_data\russian twist\video68.pt,16
processed_data\bench press\video34.pt,1
processed_data\lateral raise\video163.pt,9
processed_data\leg extension\video69.pt,10
processed_data\plank\video112.pt,12
processed_data\russian twist\video136.pt,16
processed_data\hammer curl\video61.pt,5
processed_data\lateral raise\video130.pt,9
processed_data\incline bench press\video10.pt,7
processed_data\tricep dips\video155.pt,20
processed_data\hip thrust\video123.pt,6
processed_data\chest fly machine\video14.pt,2
processed_data\bench press\video131.pt,1
processed_data\squat\video74.pt,18
processed_data\hip thrust\video129.pt,6
processed_data\push-up\video114.pt,14
processed_data\bench press\video18.pt,1
processed_data\tricep dips\video104.pt,20
processed_data\russian twist\video85.pt,16
processed_data\tricep Pushdown\video41.pt,21
processed_data\barbell biceps curl\video126.pt,0
processed_data\leg extension\video1.pt,10
processed_data\hip thrust\video159.pt,6
processed_data\tricep Pushdown\video96.pt,21
processed_data\barbell biceps curl\video137.pt,0
processed_data\t bar row\video113.pt,19
processed_data\barbell biceps curl\video9.pt,0
processed_data\barbell biceps curl\video20.pt,0
processed_data\plank\video0.pt,12
processed_data\incline bench press\video156.pt,7
processed_data\squat\video47.pt,18
processed_data\leg raises\video7.pt,11
processed_data\russian twist\video110.pt,16
processed_data\deadlift\video123.pt,3
processed_data\tricep Pushdown\video127.pt,21
processed_data\t bar row\video34.pt,19
processed_data\romanian deadlift\video140.pt,15
processed_data\incline bench press\video69.pt,7
processed_data\push-up\video181.pt,14
processed_data\barbell biceps curl\video114.pt,0
processed_data\leg raises\video23.pt,11
processed_data\t bar row\video144.pt,19
processed_data\push-up\video39.pt,14
processed_data\lateral raise\video205.pt,9
processed_data\leg extension\video102.pt,10
processed_data\tricep dips\video199.pt,20
processed_data\plank\video176.pt,12
processed_data\tricep dips\video36.pt,20
processed_data\lateral raise\video100.pt,9
processed_data\lateral raise\video22.pt,9
processed_data\t bar row\video67.pt,19
processed_data\barbell biceps curl\video51.pt,0
processed_data\romanian deadlift\video150.pt,15
processed_data\bench press\video6.pt,1
processed_data\tricep Pushdown\video111.pt,21
processed_data\lateral raise\video67.pt,9
processed_data\tricep dips\video61.pt,20
processed_data\push-up\video143.pt,14
processed_data\russian twist\video17.pt,16
processed_data\hip thrust\video66.pt,6
processed_data\barbell biceps curl\video25.pt,0
processed_data\russian twist\video146.pt,16
processed_data\push-up\video211.pt,14
processed_data\incline bench press\video34.pt,7
processed_data\incline bench press\video53.pt,7
processed_data\romanian deadlift\video167.pt,15
processed_data\hammer curl\video85.pt,5
processed_data\tricep dips\video81.pt,20
processed_data\plank\video182.pt,12
processed_data\push-up\video190.pt,14
processed_data\plank\video56.pt,12
processed_data\incline bench press\video68.pt,7
processed_data\hip thrust\video142.pt,6
processed_data\lateral raise\video184.pt,9
processed_data\push-up\video21.pt,14
processed_data\incline bench press\video124.pt,7
processed_data\squat\video201.pt,18
processed_data\lateral raise\video63.pt,9
processed_data\push-up\video102.pt,14
processed_data\leg extension\video82.pt,10
processed_data\hip thrust\video45.pt,6
processed_data\russian twist\video148.pt,16
processed_data\leg extension\video65.pt,10
processed_data\leg raises\video4.pt,11
processed_data\lateral raise\video33.pt,9
processed_data\hammer curl\video112.pt,5
processed_data\pull Up\video35.pt,13
processed_data\tricep Pushdown\video92.pt,21
processed_data\t bar row\video21.pt,19
processed_data\push-up\video49.pt,14
processed_data\romanian deadlift\video128.pt,15
processed_data\deadlift\video150.pt,3
processed_data\tricep Pushdown\video134.pt,21
processed_data\leg raises\video92.pt,11
processed_data\squat\video8.pt,18
processed_data\russian twist\video90.pt,16
processed_data\romanian deadlift\video97.pt,15
processed_data\squat\video119.pt,18
processed_data\incline bench press\video199.pt,7
processed_data\tricep dips\video202.pt,20
processed_data\plank\video52.pt,12
processed_data\tricep dips\video37.pt,20
processed_data\leg extension\video62.pt,10
processed_data\bench press\video64.pt,1
processed_data\push-up\video192.pt,14
processed_data\plank\video197.pt,12
processed_data\squat\video30.pt,18
processed_data\t bar row\video2.pt,19
processed_data\tricep dips\video9.pt,20
processed_data\tricep dips\video39.pt,20
processed_data\leg extension\video136.pt,10
processed_data\squat\video17.pt,18
processed_data\leg raises\video6.pt,11
processed_data\lateral raise\video82.pt,9
processed_data\tricep dips\video67.pt,20
processed_data\plank\video129.pt,12
processed_data\russian twist\video12.pt,16
processed_data\push-up\video248.pt,14
processed_data\pull Up\video40.pt,13
processed_data\lateral raise\video15.pt,9
processed_data\deadlift\video65.pt,3
processed_data\bench press\video14.pt,1
processed_data\deadlift\video52.pt,3
processed_data\pull Up\video182.pt,13
processed_data\leg extension\video51.pt,10
processed_data\deadlift\video79.pt,3
processed_data\deadlift\video95.pt,3
processed_data\incline bench press\video155.pt,7
processed_data\plank\video4.pt,12
processed_data\plank\video196.pt,12
processed_data\pull Up\video137.pt,13
processed_data\lateral raise\video188.pt,9
processed_data\t bar row\video98.pt,19
processed_data\plank\video103.pt,12
processed_data\lat pulldown\video1.pt,8
processed_data\deadlift\video132.pt,3
processed_data\romanian deadlift\video36.pt,15
processed_data\t bar row\video115.pt,19
processed_data\barbell biceps curl\video39.pt,0
processed_data\plank\video64.pt,12
processed_data\squat\video16.pt,18
processed_data\romanian deadlift\video118.pt,15
processed_data\pull Up\video85.pt,13
processed_data\tricep dips\video115.pt,20
processed_data\barbell biceps curl\video132.pt,0
processed_data\barbell biceps curl\video134.pt,0
processed_data\incline bench press\video51.pt,7
processed_data\t bar row\video56.pt,19
processed_data\squat\video56.pt,18
processed_data\russian twist\video0.pt,16
processed_data\incline bench press\video37.pt,7
processed_data\push-up\video137.pt,14
processed_data\barbell biceps curl\video54.pt,0
processed_data\squat\video98.pt,18
processed_data\pull Up\video192.pt,13
processed_data\tricep Pushdown\video28.pt,21
processed_data\squat\video89.pt,18
processed_data\tricep dips\video172.pt,20
processed_data\hip thrust\video125.pt,6
processed_data\chest fly machine\video17.pt,2
processed_data\lateral raise\video64.pt,9
processed_data\squat\video154.pt,18
processed_data\romanian deadlift\video17.pt,15
processed_data\t bar row\video54.pt,19
processed_data\romanian deadlift\video100.pt,15
processed_data\plank\video253.pt,12
processed_data\tricep dips\video1.pt,20
processed_data\deadlift\video135.pt,3
processed_data\russian twist\video74.pt,16
processed_data\leg raises\video128.pt,11
processed_data\hip thrust\video36.pt,6
processed_data\squat\video159.pt,18
processed_data\hammer curl\video84.pt,5
processed_data\plank\video15.pt,12
processed_data\pull Up\video159.pt,13
processed_data\romanian deadlift\video70.pt,15
processed_data\push-up\video63.pt,14
processed_data\leg extension\video113.pt,10
processed_data\tricep Pushdown\video133.pt,21
processed_data\pull Up\video172.pt,13
processed_data\lateral raise\video62.pt,9
processed_data\plank\video185.pt,12
processed_data\t bar row\video26.pt,19
processed_data\hip thrust\video52.pt,6
processed_data\romanian deadlift\video107.pt,15
processed_data\lat pulldown\video3.pt,8
processed_data\tricep dips\video109.pt,20
processed_data\barbell biceps curl\video151.pt,0
processed_data\pull Up\video0.pt,13
processed_data\pull Up\video97.pt,13
processed_data\plank\video130.pt,12
processed_data\russian twist\video143.pt,16
processed_data\lateral raise\video197.pt,9
processed_data\romanian deadlift\video123.pt,15
processed_data\tricep Pushdown\video118.pt,21
processed_data\lateral raise\video89.pt,9
processed_data\pull Up\video11.pt,13
processed_data\tricep dips\video83.pt,20
processed_data\barbell biceps curl\video94.pt,0
processed_data\tricep dips\video22.pt,20
processed_data\incline bench press\video185.pt,7
processed_data\romanian deadlift\video147.pt,15
processed_data\plank\video247.pt,12
processed_data\push-up\video26.pt,14
processed_data\leg raises\video31.pt,11
processed_data\russian twist\video57.pt,16
processed_data\tricep Pushdown\video23.pt,21
processed_data\deadlift\video72.pt,3
processed_data\russian twist\video13.pt,16
processed_data\leg extension\video133.pt,10
processed_data\leg raises\video26.pt,11
processed_data\squat\video106.pt,18
processed_data\pull Up\video42.pt,13
processed_data\romanian deadlift\video66.pt,15
processed_data\romanian deadlift\video136.pt,15
processed_data\leg extension\video135.pt,10
processed_data\russian twist\video118.pt,16
processed_data\squat\video48.pt,18
processed_data\deadlift\video98.pt,3
processed_data\tricep Pushdown\video124.pt,21
processed_data\tricep dips\video119.pt,20
processed_data\push-up\video35.pt,14
processed_data\leg raises\video102.pt,11
